comm, ce, te, cp, comm, nodes, edges, stops_as_trajectories, stops_as_users, pois, poi_types, avg_distance, moves_as_trajectories, moves_as_users, avg_stop_time, avg_move_time
101, 1, 2, 0.50000000000000000000, 101, 2, 1, 175, 110, 10, 5, 2.89895420475828, 1, 1, 6.88493950759623475209, 1.80166750000583
108, 1, 2, 0.50000000000000000000, 108, 2, 1, 203, 156, 11, 4, 3.25868815046273, 1, 1, 6.07036469069916530157, 1.73555611107084
109, 7, 14, 0.50000000000000000000, 109, 4, 7, 233, 129, 17, 5, 0.795849552560927, 11, 8, 5.01181118601260024588, 1.2457802363054
11, 1, 2, 0.50000000000000000000, 11, 2, 1, 225, 144, 7, 4, 15.0545240138699, 1, 1, 7.64650578975680334495, 0.637778333293067
15, 1, 2, 0.50000000000000000000, 15, 2, 1, 147, 99, 6, 5, 8.03385235125396, 1, 1, 6.46550188711178701308, 0.984722777737511
3, 1, 2, 0.50000000000000000000, 3, 2, 1, 134, 99, 12, 5, 2.15599168814224, 1, 1, 8.39936909889224802867, 0.318055833379428
35, 1, 2, 0.50000000000000000000, 35, 2, 1, 182, 141, 7, 3, 2.13912098644066, 1, 1, 6.82451924995360899930, 3.51861222220792
40, 1, 2, 0.50000000000000000000, 40, 2, 1, 212, 171, 10, 5, 4.01540583470938, 1, 1, 5.05998067927852885511, 0.551666944424311
42, 1, 2, 0.50000000000000000000, 42, 2, 1, 148, 125, 6, 5, 3.59145342037696, 1, 1, 6.63940988399907224981, 0.699444722202089
52, 1, 2, 0.50000000000000000000, 52, 2, 1, 236, 195, 10, 5, 4.1214396813587, 1, 1, 4.71813044690242310741, 0.551666944424311
60, 2, 4, 0.50000000000000000000, 60, 3, 2, 221, 187, 13, 6, 2.38731505391684, 1, 1, 5.51575524524524524682, 2.19000083333916
63, 4, 8, 0.50000000000000000000, 63, 5, 4, 501, 283, 16, 8, 6.95598325203345, 4, 4, 6.34859150032077035553, 0.674444791691171
69, 3, 6, 0.50000000000000000000, 69, 4, 3, 298, 240, 17, 7, 1.97121180935679, 2, 2, 5.15677006833191012796, 1.48963027777495
70, 3, 6, 0.50000000000000000000, 70, 4, 3, 204, 156, 16, 9, 1.86381535215396, 1, 1, 3.02462214183533492827, 0.2936116666264
76, 9, 18, 0.50000000000000000000, 76, 9, 9, 620, 386, 41, 10, 9.60464421366106, 3, 2, 5.82867806911677998028, 1.13138953705629
85, 1, 2, 0.50000000000000000000, 85, 2, 1, 166, 146, 6, 2, 1.69391073380227, 1, 1, 4.80772715249340249339, 3.0319469443957
87, 1, 2, 0.50000000000000000000, 87, 2, 1, 227, 180, 11, 6, 3.31787808719056, 1, 1, 5.72851445832305955387, 1.73555611107084
95, 1, 2, 0.50000000000000000000, 95, 2, 1, 188, 169, 6, 4, 1.78089642195372, 1, 1, 4.46587692011729674569, 3.0319469443957
